"","X","PRT_ID","AREA","INT_SQFT","DATE_SALE","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","DATE_BUILD","BUILDTYPE","UTILITY_AVAIL","STREET","REG_FEE","COMMIS","SALES_PRICE","YEAR_BUILD","YEAR_SOLD"
"3382",3382,"P05590","Chromepet",1136,"29-01-2010",39,1,1,3,"Abnormal","No","03-02-1990","Other","AllPub","NoAccess",246465,123232,8802320,"1990","2010"
"3383",3383,"P02317","Velachery",1997,"25-10-2011",7,3,2,5,"Family","No","06-11-1960","Other","AllPub","Paved",327267,142655,8391470,"1960","2011"
"3384",3384,"P03465","Adyar",878,"22-03-2011",103,1,1,3,"Adj Land","No","29-03-1983","Other","ELO","NoAccess",291605,51460,8576620,"1983","2011"
"3385",3385,"P07869","Chromepet",1057,"08-07-2008",145,1,1,3,"Partial","Yes","14-07-1984","Commercial","No_Sew_Water","Gravel",341480,177570,13659200,"1984","2008"
"3386",3386,"P06191","Karapakkam",521,"07-10-2009",51,1,1,2,"Partial","No","13-10-1985","Other","ELO","NoAccess",71177,25883,2156875,"1985","2009"
"3387",3387,"P06424","Karapakkam",1457,"22-08-2009",42,2,2,4,"Partial","Yes","31-08-1973","Housing","No_Sew_Water","Paved",248272,186204,7758500,"1973","2009"
"3388",3388,"P08720","Adyar",1021,"10-09-2007",42,1,1,3,"Normal Sale","Yes","15-09-1985","Commercial","ELO","Paved",456993,128529,14281030,"1985","2007"
"3389",3389,"P09751","Velachery",1519,"18-09-2005",2,2,1,4,"Partial","Yes","29-09-1960","Commercial","No_Sew_Water","Paved",456776,104406,13050750,"1960","2005"
"3390",3390,"P04809","Adyar",724,"27-06-2010",126,1,1,2,"Abnormal","Yes","29-06-2001","Other","No_Sew_Water","Paved",200785,81569,6274535,"2001","2010"
"3391",3391,"P04198","KK Nagar",2004,"19-10-2010",171,3,2,5,"Abnormal","Yes","26-10-1983","Commercial","No_Sew_Water","Paved",521968,156590,17398940,"1983","2010"
"3392",3392,"P01484","Chromepet",734,"04-04-2012",136,1,1,2,"Family","No","14-04-1972","Other","AllPub","NoAccess",194195,32366,6473180,"1972","2012"
"3393",3393,"P02114","TNagar",1770,"09-12-2011",176,1,1,4,"Normal Sale","Yes","12-12-1998","Housing","ELO","Paved",360820,138777,13877710,"1998","2011"
"3394",3394,"P01861","Chromepet",814,"26-01-2012",194,1,1,3,"Normal Sale","No","30-01-1994","Housing","No_Sew_Water","Paved",211424,105712,8131700,"1994","2012"
"3395",3395,"P01616","KK Nagar",1486,"09-03-2012",53,2,1,4,"Abnormal","Yes","15-03-1988","Commercial","AllPub","Gravel",518331,359952,14398080,"1988","2012"
"3396",3396,"P08588","Chromepet",1215,"29-10-2007",184,2,1,4,"Adj Land","No","03-11-1987","Housing","No_Sew_Water","Paved",279216,130301,9307200,"1987","2007"
"3397",3397,"P03987","Adyar",973,"29-11-2010",4,1,1,3,"Partial","No","01-12-2003","Commercial","ELO","NoAccess",393869,109408,10940805,"2003","2010"
"3398",3398,"P06652","Chromepet",869,"04-07-2009",200,1,1,3,"Abnormal","Yes","08-07-1992","Other","AllPub","Paved",271854,56246,9374280,"1992","2009"
"3399",3399,"P04760","Karapakkam",640,"03-07-2010",37,1,1,2,"Partial","Yes","13-07-1969","Other","ELO","Gravel",233940,107223,4873750,"1969","2010"
"3400",3400,"P08964","Chromepet",969,"02-06-2007",60,1,1,3,"Adj Land","No","08-06-1983","Commercial","No_Sew_Water","Gravel",372378,111713,12412600,"1983","2007"
"3401",3401,"P06037","KK Nagar",1609,"05-11-2009",191,2,1,4,"Family","No","13-11-1979","Housing","No_Sew_Water","Paved",362914,207379,8640800,"1979","2009"
"3402",3402,"P03710","KK Nagar",1689,"27-01-2011",44,2,1,4,"Normal Sale","Yes","31-01-1995","Housing","AllPub","Paved",380206,234833,11182520,"1995","2011"
"3403",3403,"P08088","KK Nagar",1917,"01-05-2008",113,3,2,5,"Partial","No","03-05-2000","Other","No_Sew_Water","Gravel",545003,284350,11847900,"2000","2008"
"3404",3404,"P00951","Chromepet",1178,"10-04-2013",90,1,1,3,"Family","Yes","12-04-2005","Other","No_Sew_Water","Paved",340847,42606,10651460,"2005","2013"
"3405",3405,"P05347","Velachery",1530,"13-03-2010",69,2,1,4,"Partial","No","20-03-1982","Commercial","AllPub","Paved",360319,141944,10918760,"1982","2010"
"3406",3406,"P09654","Velachery",1622,"22-04-2006",66,2,1,4,"Family","Yes","28-04-1981","Other","No_Sew_Water","Gravel",387294,101920,10191950,"1981","2006"
"3407",3407,"P03625","Adyar",1013,"13-02-2011",153,1,1,3,"Abnormal","Yes","18-02-1992","Other","No_Sew_Water","Paved",410912,86508,10813485,"1992","2011"
"3408",3408,"P09497","Chromepet",1244,"08-11-2006",68,2,1,4,"Family","Yes","14-11-1981","Commercial","No_Sew_Water","NoAccess",426409,249964,14703750,"1981","2006"
"3409",3409,"P02092","Velachery",1840,"11-12-2011",52,3,2,5,"Partial","No","19-12-1976","Other","No_Sew_Water","NoAccess",255539,98918,8243200,"1976","2011"
"3410",3410,"P06893","TNagar",1930,"27-04-2009",13,2,1,5,"Normal Sale","No","08-05-1964","Housing","ELO","NoAccess",351818,58636,11727250,"1964","2009"
"3411",3411,"P06844","Velachery",1942,"07-05-2009",91,3,2,5,"Adj Land","No","13-05-1984","Housing","AllPub","NoAccess",267152,133576,8905050,"1984","2009"
"3412",3412,"P09874","Velachery",1722,"25-12-2004",108,2,1,4,"Partial","Yes","07-01-1956","Other","ELO","Gravel",378092,171860,11457330,"1956","2004"
"3413",3413,"P09537","Adyar",1182,"20-10-2006",187,1,1,3,"Abnormal","Yes","27-10-1977","Commercial","No_Sew_Water","Paved",507838,153890,15389035,"1977","2006"
"3414",3414,"P07101","Adyar",1246,"25-02-2009",44,2,2,4,"Abnormal","Yes","01-03-1995","Commercial","No_Sew_Water","Paved",460602,43181,14393810,"1995","2009"
"3415",3415,"P00196","Chromepet",925,"04-10-2014",93,1,1,3,"Partial","Yes","09-10-1994","Housing","No_Sew_Water","Paved",270464,25356,8452000,"1994","2014"
"3416",3416,"P03825","Karapakkam",1434,"05-01-2011",166,2,2,4,"Family","No","14-01-1974","Housing","AllPub","Paved",253251,84417,7034750,"1974","2011"
"3417",3417,"P06460","Chromepet",1081,"13-08-2009",115,1,1,3,"Family","No","23-08-1969","Housing","No_Sew_Water","Gravel",268332,71555,8944400,"1969","2009"
"3418",3418,"P00443","Chromepet",794,"15-04-2014",148,1,1,2,"Normal Sale","Yes","21-04-1989","Other","AllPub","NoAccess",252982,61065,8723530,"1989","2014"
"3419",3419,"P01982","Adyar",685,"03-01-2012",83,1,1,2,"Partial","No","05-01-2002","Other","No_Sew_Water","Paved",206943,42606,6086550,"2002","2012"
"3420",3420,"P02367","KK Nagar",2025,"17-10-2011",3,3,2,5,"Adj Land","No","19-10-2003","Commercial","No_Sew_Water","Gravel",688161,282323,17645160,"2003","2011"
"3421",3421,"P06650","Velachery",1581,"04-07-2009",161,2,1,4,"Abnormal","Yes","14-07-1971","Other","No_Sew_Water","Paved",314148,66136,8267060,"1971","2009"
"3422",3422,"P07676","KK Nagar",1731,"05-09-2008",191,2,1,4,"Normal Sale","No","11-09-1985","Housing","No_Sew_Water","Gravel",451275,102563,10256260,"1985","2008"
"3423",3423,"P06035","Karapakkam",1243,"05-11-2009",51,1,1,3,"Abnormal","Yes","11-11-1985","Commercial","No_Sew_Water","NoAccess",468587,219949,9563000,"1985","2009"
"3424",3424,"P08230","Chromepet",1184,"16-03-2008",197,1,1,3,"Adj Land","Yes","26-03-1968","Housing","AllPub","Gravel",317773,59582,9930400,"1968","2008"
"3425",3425,"P09170","Velachery",1704,"11-03-2007",66,2,1,4,"Adj Land","No","17-03-1980","Housing","ELO","Paved",257781,156231,7811540,"1980","2007"
"3426",3426,"P08582","Adyar",961,"31-10-2007",178,1,1,3,"Family","Yes","05-11-1985","Other","ELO","NoAccess",281211,85926,7811430,"1985","2007"
"3427",3427,"P03074","Karapakkam",610,"30-05-2011",108,1,1,2,"Normal Sale","No","04-06-1990","Commercial","No_Sew_Water","NoAccess",191979,117321,5332750,"1990","2011"
"3428",3428,"P06727","Adyar",640,"11-06-2009",77,1,1,2,"Partial","No","15-06-1995","Commercial","AllPub","NoAccess",212712,51566,6445810,"1995","2009"
"3429",3429,"P04332","Karapakkam",1650,"21-09-2010",140,2,2,4,"Adj Land","No","24-09-1997","Commercial","ELO","Gravel",392488,207788,11543750,"1997","2010"
"3430",3430,"P05573","Adyar",734,"01-02-2010",134,1,1,2,"Family","No","08-02-1984","Other","ELO","Gravel",199803,27750,5550090,"1984","2010"
"3431",3431,"P02644","Chromepet",717,"28-08-2011",171,1,1,2,"Abnormal","Yes","31-08-1997","Commercial","No_Sew_Water","NoAccess",240168,115280,9606700,"1997","2011"
"3432",3432,"P06582","Karapakkam",1419,"20-07-2009",185,2,2,4,"Partial","No","28-07-1976","Housing","ELO","Paved",322516,94395,7866250,"1976","2009"
"3433",3433,"P05700","KK Nagar",2055,"09-01-2010",158,3,2,5,"Normal Sale","Yes","12-01-1999","Housing","No_Sew_Water","Paved",348127,220480,11604220,"1999","2010"
"3434",3434,"P08924","Chromepet",1010,"17-06-2007",23,1,1,3,"Partial","Yes","23-06-1980","Other","AllPub","NoAccess",272116,149225,8777950,"1980","2007"
"3435",3435,"P01254","Chromepet",1011,"26-09-2012",14,1,1,3,"Normal Sale","No","03-10-1985","Commercial","No_Sew_Water","Paved",281296,146274,11251850,"1985","2012"
"3436",3436,"P07550","Anna Nagar",1806,"07-10-2008",68,2,1,5,"Normal Sale","Yes","15-10-1976","Commercial","AllPub","NoAccess",730011,197300,19730040,"1976","2008"
"3437",3437,"P03845","Adyar",1225,"31-12-2010",15,2,2,4,"Adj Land","No","05-01-1990","Other","AllPub","Paved",251805,33574,8393515,"1990","2010"
"3438",3438,"P01783","Adyar",1252,"09-02-2012",177,2,2,4,"Family","Yes","19-02-1972","Housing","No_Sew_Water","Paved",321922,123088,9468300,"1972","2012"
"3439",3439,"P09881","Velachery",1913,"17-12-2004",143,3,2,5,"Partial","Yes","26-12-1968","Commercial","AllPub","NoAccess",583629,268154,15773770,"1968","2004"
"3440",3440,"P07640","Velachery",1729,"14-09-2008",17,2,1,4,"Normal Sale","Yes","23-09-1975","Other","AllPub","Gravel",379338,100413,11157010,"1975","2008"
"3441",3441,"P02679","TNagar",1717,"19-08-2011",49,1,1,4,"Adj Land","Yes","22-08-1996","Other","AllPub","Paved",366245,183123,14086360,"1996","2011"
"3442",3442,"P06040","Karapakkam",1091,"04-11-2009",49,1,1,3,"Normal Sale","Yes","07-11-1997","Housing","ELO","Paved",315347,67095,6709500,"1997","2009"
"3443",3443,"P03458","KK Nagar",1629,"23-03-2011",111,2,1,4,"Normal Sale","Yes","25-03-2000","Commercial","AllPub","Paved",574707,124261,15532620,"2000","2011"
"3444",3444,"P04485","KK Nagar",1724,"22-08-2010",107,2,1,4,"Normal Sale","Yes","25-08-1996","Commercial","No_Sew_Water","Paved",503359,133242,14804680,"1996","2010"
"3445",3445,"P01674","Chromepet",1198,"28-02-2012",29,1,1,3,"Adj Land","No","04-03-1993","Housing","AllPub","Gravel",304354,27669,9222850,"1993","2012"
"3446",3446,"P03182","Karapakkam",1329,"10-05-2011",109,1,1,3,"Abnormal","No","22-05-1962","Other","ELO","NoAccess",180122,107216,4288625,"1962","2011"
"3447",3447,"P02012","Anna Nagar",1634,"27-12-2011",160,1,1,4,"Abnormal","Yes","01-01-1991","Commercial","AllPub","Gravel",661033,351174,20657270,"1991","2011"
"3448",3448,"P05005","Karapakkam",979,"18-05-2010",27,1,1,3,"Normal Sale","Yes","28-05-1968","Housing","No_Sew_Water","Paved",337636,157040,7852000,"1968","2010"
"3449",3449,"P01542","Velachery",1749,"21-03-2012",154,2,1,4,"Family","No","01-04-1971","Commercial","ELO","Paved",398407,261455,12450220,"1971","2012"
"3450",3450,"P02172","Karapakkam",1446,"24-11-2011",79,2,2,4,"Partial","No","01-12-1981","Commercial","AllPub","Paved",338535,157983,11284500,"1981","2011"
"3451",3451,"P06886","Chromepet",1034,"28-04-2009",85,1,1,3,"Normal Sale","No","02-05-1995","Housing","AllPub","Paved",282835,45619,9123700,"1995","2009"
"3452",3452,"P09551","TNagar",1722,"15-10-2006",166,1,1,4,"Abnormal","No","18-10-1992","Housing","No_Sew_Water","Gravel",324836,180465,12030980,"1992","2006"
"3453",3453,"P04119","Anna Nagar",1978,"03-11-2010",121,2,1,5,"Normal Sale","No","07-11-1994","Other","No_Sew_Water","NoAccess",414278,106910,13363810,"1994","2010"
"3454",3454,"P06793","Velachery",1529,"21-05-2009",184,2,1,4,"Abnormal","Yes","31-05-1971","Commercial","No_Sew_Water","NoAccess",421730,177571,11098160,"1971","2009"
"3455",3455,"P08018","Chromepet",1074,"20-05-2008",72,1,1,3,"Adj Land","Yes","29-05-1975","Commercial","AllPub","Paved",421643,65882,13176350,"1975","2008"
"3456",3456,"P08031","KK Nagar",2341,"16-05-2008",192,4,2,6,"Normal Sale","No","20-05-1992","Commercial","No_Sew_Water","Gravel",847638,313258,18426920,"1992","2008"
"3457",3457,"P03138","Chromepet",1229,"19-05-2011",10,2,1,4,"Family","No","21-05-2001","Commercial","AllPub","Paved",349999,94231,13461500,"2001","2011"
"3458",3458,"P09395","Chromepet",1215,"23-12-2006",177,2,1,4,"Abnormal","Yes","25-12-1996","Other","No_Sew_Water","Gravel",268551,64452,10742050,"1996","2006"
"3459",3459,"P07445","Anna Nagar",1648,"07-11-2008",145,1,1,4,"Abnormal","No","10-11-1998","Other","No_Sew_Water","Gravel",485530,202304,13486940,"1998","2008"
"3460",3460,"P01043","TNagar",1795,"30-01-2013",51,1,1,4,"Family","No","08-02-1980","Other","AllPub","Paved",359336,221130,13820610,"1980","2013"
"3461",3461,"P05712","Velachery",1889,"06-01-2010",49,3,2,5,"Partial","No","13-01-1981","Commercial","No_Sew_Water","NoAccess",445114,311580,14837130,"1981","2010"
"3462",3462,"P01582","KK Nagar",1527,"15-03-2012",171,2,1,4,"Abnormal","Yes","19-03-1996","Housing","No_Sew_Water","Paved",339897,175099,10299920,"1996","2012"
"3463",3463,"P00253","Chromepet",951,"23-08-2014",96,1,1,3,"Normal Sale","No","31-08-1980","Commercial","No_Sew_Water","NoAccess",310964,30093,10031100,"1980","2014"
"3464",3464,"P01122","TNagar",1993,"10-12-2012",62,2,1,5,"Family","Yes","13-12-2000","Housing","No_Sew_Water","Paved",499629,216056,13503490,"2000","2012"
"3465",3465,"P07089","KK Nagar",2329,"01-03-2009",2,4,2,6,"Partial","Yes","03-03-2001","Commercial","AllPub","Gravel",818342,359272,19959560,"2001","2009"
"3466",3466,"P06512","Adyar",1094,"03-08-2009",1,1,1,3,"Family","Yes","10-08-1982","Other","ELO","NoAccess",246928,61732,7716505,"1982","2009"
"3467",3467,"P00651","TNagar",1796,"08-11-2013",100,1,1,4,"Family","Yes","16-11-1980","Housing","No_Sew_Water","NoAccess",477032,116035,12892760,"1980","2013"
"3468",3468,"P00530","Chromepet",946,"30-01-2014",45,1,1,3,"Partial","No","04-02-1993","Housing","AllPub","Paved",234377,70313,7812550,"1993","2014"
"3469",3469,"P01671","Velachery",1697,"28-02-2012",26,2,1,4,"Normal Sale","No","13-03-1957","Other","AllPub","Gravel",316343,143792,9586150,"1957","2012"
"3470",3470,"P04229","Anna Nagar",1813,"11-10-2010",186,2,1,5,"Partial","No","21-10-1970","Other","No_Sew_Water","Paved",378073,73175,12195890,"1970","2010"
"3471",3471,"P07634","KK Nagar",1656,"16-09-2008",55,2,1,4,"Normal Sale","Yes","18-09-2001","Housing","No_Sew_Water","Gravel",428273,208349,11574940,"2001","2008"
"3472",3472,"P08190","Anna Nagar",1738,"27-03-2008",37,1,1,4,"Abnormal","Yes","30-03-1996","Commercial","AllPub","Paved",741809,275529,21194540,"1996","2008"
"3473",3473,"P09074","Chromepet",1155,"16-04-2007",42,1,1,3,"Partial","Yes","17-04-2003","Housing","AllPub","NoAccess",244550,166294,9782000,"2003","2007"
"3474",3474,"P08244","Chromepet",768,"11-03-2008",9,1,1,2,"Partial","No","19-03-1977","Other","No_Sew_Water","NoAccess",185735,46434,6633410,"1977","2008"
"3475",3475,"P02030","Velachery",1818,"22-12-2011",125,3,2,5,"Family","Yes","03-01-1964","Other","No_Sew_Water","NoAccess",325427,154149,8563860,"1964","2011"
"3476",3476,"P08793","Adyar",1199,"16-08-2007",190,1,1,3,"Abnormal","No","21-08-1987","Other","ELO","Gravel",395284,19764,9882100,"1987","2007"
"3477",3477,"P00856","Anna Nagar",1658,"13-06-2013",157,1,1,4,"Partial","No","24-06-1971","Commercial","ELO","NoAccess",652034,211470,17622540,"1971","2013"
"3478",3478,"P02565","KK Nagar",2034,"11-09-2011",18,3,2,5,"Normal Sale","Yes","13-09-2001","Housing","AllPub","Gravel",641170,115411,12823400,"2001","2011"
"3479",3479,"P08835","Anna Nagar",1899,"31-07-2007",49,2,1,5,"Partial","Yes","07-08-1978","Housing","ELO","NoAccess",462916,175157,12511230,"1978","2007"
"3480",3480,"P07622","KK Nagar",1621,"18-09-2008",93,2,1,4,"Adj Land","Yes","22-09-1995","Commercial","No_Sew_Water","Gravel",518332,210572,16197860,"1995","2008"
"3481",3481,"P05698","Velachery",1660,"09-01-2010",107,2,1,4,"Family","Yes","12-01-1999","Other","No_Sew_Water","Paved",344530,65181,9311620,"1999","2010"
"3482",3482,"P05425","Karapakkam",1037,"26-02-2010",130,1,1,3,"Abnormal","Yes","10-03-1960","Commercial","AllPub","Gravel",266987,186082,8090500,"1960","2010"
"3483",3483,"P00221","Chromepet",868,"10-09-2014",171,1,1,3,"Family","No","12-09-2007","Other","No_Sew_Water","NoAccess",189725,75890,7589010,"2007","2014"
"3484",3484,"P04697","Karapakkam",783,"16-07-2010",174,1,1,2,"Partial","Yes","28-07-1963","Housing","AllPub","Paved",276968,113628,7101750,"1963","2010"
"3485",3485,"P08947","Velachery",1642,"08-06-2007",87,2,1,4,"Adj Land","No","15-06-1979","Commercial","No_Sew_Water","Gravel",613616,107383,15340410,"1979","2007"
"3486",3486,"P07330","Anna Nagar",1618,"19-12-2008",158,1,1,4,"Normal Sale","Yes","26-12-1980","Housing","No_Sew_Water","NoAccess",287048,88322,11040310,"1980","2008"
"3487",3487,"P09687","Velachery",1645,"23-02-2006",186,2,1,4,"Abnormal","No","06-03-1962","Housing","No_Sew_Water","Gravel",325060,74299,9287430,"1962","2006"
"3488",3488,"P02048","Karapakkam",1150,"18-12-2011",103,1,1,3,"Family","No","23-12-1991","Other","No_Sew_Water","NoAccess",219311,56103,5100250,"1991","2011"
"3489",3489,"P01813","KK Nagar",2186,"04-02-2012",18,3,2,5,"Abnormal","Yes","07-02-1997","Other","AllPub","Gravel",478999,197235,14088220,"1997","2012"
"3490",3490,"P09904","Velachery",1911,"07-11-2004",162,3,2,5,"Family","No","21-11-1951","Commercial","No_Sew_Water","Gravel",467076,249107,15569210,"1951","2004"
"3491",3491,"P09531","Chromepet",1058,"22-10-2006",19,1,1,3,"Partial","Yes","31-10-1971","Housing","No_Sew_Water","NoAccess",233915,120730,7545650,"1971","2006"
"3492",3492,"P00133","TNagar",1720,"21-11-2014",80,1,1,4,"Family","Yes","29-11-1981","Housing","AllPub","NoAccess",387948,109110,12123360,"1981","2014"
"3493",3493,"P07049","KK Nagar",1719,"10-03-2009",96,2,1,4,"Partial","Yes","13-03-1999","Housing","No_Sew_Water","Paved",339917,95602,10622400,"1999","2009"
"3494",3494,"P01384","Chromepet",1191,"18-06-2012",102,1,1,3,"Partial","Yes","28-06-1972","Commercial","AllPub","Paved",333890,93489,13355600,"1972","2012"
"3495",3495,"P09418","Anna Nagar",1903,"16-12-2006",183,2,1,5,"Family","No","23-12-1979","Other","No_Sew_Water","NoAccess",474897,171491,13191580,"1979","2006"
"3496",3496,"P08612","Chromepet",1039,"23-10-2007",28,1,1,3,"Abnormal","Yes","29-10-1981","Housing","AllPub","NoAccess",218593,69950,8743700,"1981","2007"
"3497",3497,"P03959","Adyar",816,"05-12-2010",21,1,1,3,"Abnormal","No","08-12-1997","Housing","ELO","Gravel",229692,17227,5742295,"1997","2010"
"3498",3498,"P04826","TNagar",1848,"24-06-2010",113,2,1,5,"Normal Sale","Yes","30-06-1987","Commercial","No_Sew_Water","Paved",770779,374378,22022260,"1987","2010"
"3499",3499,"P02920","Adyar",931,"29-06-2011",195,1,1,3,"Family","No","01-07-2003","Commercial","ELO","NoAccess",382227,21235,10617420,"2003","2011"
"3500",3500,"P07850","KK Nagar",2062,"13-07-2008",157,3,2,5,"Normal Sale","Yes","18-07-1988","Housing","AllPub","Paved",425412,229068,10908000,"1988","2008"
"3501",3501,"P03846","Velachery",1894,"30-12-2010",14,3,2,5,"Family","Yes","06-01-1984","Commercial","No_Sew_Water","NoAccess",436488,231884,13640240,"1984","2010"
"3502",3502,"P06067","Karapakkam",1474,"29-10-2009",144,2,2,4,"Family","No","04-11-1984","Other","No_Sew_Water","Gravel",268643,69080,7675500,"1984","2009"
"3503",3503,"P04141","Karapakkam",968,"28-10-2010",186,1,1,3,"Partial","No","31-10-1998","Housing","No_Sew_Water","NoAccess",290050,52209,5801000,"1998","2010"
"3504",3504,"P08318","TNagar",1827,"16-02-2008",73,2,1,5,"Normal Sale","No","19-02-1994","Housing","No_Sew_Water","Paved",450795,212139,13258680,"1994","2008"
"3505",3505,"P00653","Chromepet",709,"07-11-2013",48,1,1,2,"Normal Sale","No","11-11-1998","Housing","No_Sew_Water","Paved",237970,122823,7676450,"1998","2013"
"3506",3506,"P01024","Anna Nagar",1983,"17-02-2013",73,2,1,5,"Abnormal","Yes","25-02-1984","Other","No_Sew_Water","Paved",379689,262862,14603420,"1984","2013"
"3507",3507,"P08251","KK Nagar",1464,"09-03-2008",67,2,1,4,"Partial","No","13-03-1995","Commercial","AllPub","Paved",456367,96077,12009660,"1995","2008"
"3508",3508,"P06049","Adyar",1290,"02-11-2009",108,2,2,4,"Adj Land","No","09-11-1982","Other","AllPub","Paved",264914,85456,8545605,"1982","2009"
"3509",3509,"P03065","Karapakkam",558,"01-06-2011",129,1,1,2,"Family","Yes","11-06-1969","Commercial","ELO","Gravel",336196,156370,7818500,"1969","2011"
"3510",3510,"P02344","KK Nagar",1863,"21-10-2011",175,3,2,5,"Adj Land","No","23-10-2003","Other","AllPub","Paved",441596,155155,11935020,"2003","2011"
"3511",3511,"P08604","Adyar",1199,"25-10-2007",39,1,1,3,"Abnormal","Yes","01-11-1976","Commercial","AllPub","NoAccess",502763,50276,12569065,"1976","2007"
"3512",3512,"P08617","TNagar",1631,"21-10-2007",35,1,1,4,"Normal Sale","Yes","31-10-1967","Commercial","AllPub","Gravel",649092,305455,19090950,"1967","2007"
"3513",3513,"P09791","Velachery",1576,"16-07-2005",169,2,1,4,"Family","Yes","22-07-1981","Other","No_Sew_Water","NoAccess",309605,69661,7740130,"1981","2005"
"3514",3514,"P01017","Chromepet",1148,"23-02-2013",82,1,1,3,"Abnormal","Yes","02-03-1985","Other","ELO","Gravel",321168,177196,11074760,"1985","2013"
"3515",3515,"P05549","Anna Nagar",1792,"05-02-2010",62,1,1,4,"Normal Sale","Yes","07-02-2003","Commercial","ELO","Paved",708009,229062,20823790,"2003","2010"
"3516",3516,"P00518","TNagar",1808,"08-02-2014",154,2,1,5,"Family","No","12-02-1997","Housing","No_Sew_Water","Gravel",348123,116041,12893440,"1997","2014"
"3517",3517,"P01028","TNagar",1877,"13-02-2013",131,2,1,5,"Abnormal","No","16-02-2001","Housing","AllPub","Gravel",529436,190054,13575290,"2001","2013"
"3518",3518,"P06020","Velachery",1760,"09-11-2009",108,2,1,4,"Adj Land","Yes","10-11-2004","Other","No_Sew_Water","Paved",476702,188172,12544800,"2004","2009"
"3519",3519,"P02293","Chromepet",966,"30-10-2011",163,1,1,3,"Partial","No","08-11-1975","Commercial","No_Sew_Water","Paved",292841,135962,10458600,"1975","2011"
"3520",3520,"P02062","Karapakkam",979,"17-12-2011",85,1,1,3,"Adj Land","Yes","27-12-1971","Other","No_Sew_Water","Gravel",324980,154753,7737625,"1971","2011"
"3521",3521,"P07508","Chromepet",1044,"19-10-2008",166,1,1,3,"Family","No","21-10-2000","Housing","AllPub","Paved",232087,146129,8595800,"2000","2008"
"3522",3522,"P06092","Adyar",1180,"25-10-2009",69,1,1,3,"Family","No","29-10-1993","Commercial","AllPub","Paved",495815,28332,14166140,"1993","2009"
"3523",3523,"P00706","Chromepet",1095,"02-10-2013",79,1,1,3,"Partial","Yes","11-10-1979","Other","No_Sew_Water","Gravel",326709,132725,10209650,"1979","2013"
"3524",3524,"P08990","Chromepet",1202,"21-05-2007",149,2,1,4,"Adj Land","No","22-05-2003","Other","AllPub","NoAccess",292010,73003,10428940,"2003","2007"
"3525",3525,"P07075","Adyar",691,"04-03-2009",77,1,1,2,"Normal Sale","Yes","11-03-1982","Commercial","ELO","Gravel",379506,129831,9987005,"1982","2009"
"3526",3526,"P04428","Karapakkam",1313,"02-09-2010",35,1,1,3,"Abnormal","No","08-09-1986","Commercial","ELO","NoAccess",453822,137202,10554000,"1986","2010"
"3527",3527,"P08710","Adyar",625,"13-09-2007",168,1,1,2,"Adj Land","No","23-09-1967","Commercial","ELO","Paved",262173,131087,8739100,"1967","2007"
"3528",3528,"P07846","KK Nagar",1933,"15-07-2008",186,3,2,5,"Partial","No","21-07-1986","Commercial","No_Sew_Water","Gravel",572732,247668,15479240,"1986","2008"
"3529",3529,"P06073","Karapakkam",681,"28-10-2009",198,1,1,2,"Family","Yes","08-11-1966","Housing","AllPub","NoAccess",321738,64348,6434750,"1966","2009"
"3530",3530,"P02933","Karapakkam",636,"26-06-2011",35,1,1,2,"Abnormal","No","02-07-1984","Other","AllPub","NoAccess",141203,98842,4706750,"1984","2011"
"3531",3531,"P00317","Anna Nagar",1718,"07-07-2014",100,1,1,4,"Adj Land","Yes","10-07-2000","Housing","ELO","Gravel",504678,230710,14419380,"2000","2014"
"3532",3532,"P04516","Karapakkam",1086,"15-08-2010",134,1,1,3,"Normal Sale","Yes","26-08-1965","Housing","No_Sew_Water","NoAccess",262153,144874,6898750,"1965","2010"
"3533",3533,"P00429","Chromepet",845,"21-04-2014",65,1,1,3,"Partial","No","23-04-2004","Commercial","No_Sew_Water","NoAccess",322608,110897,10081500,"2004","2014"
"3534",3534,"P07379","Anna Nagar",1774,"03-12-2008",158,1,1,4,"Family","Yes","11-12-1978","Other","No_Sew_Water","NoAccess",421391,210696,14046370,"1978","2008"
"3535",3535,"P05524","Anna Nagar",1730,"09-02-2010",129,1,1,4,"Partial","No","18-02-1976","Housing","AllPub","Gravel",472693,218166,12120330,"1976","2010"
"3536",3536,"P08600","Chromepet",1180,"26-10-2007",18,1,1,3,"Adj Land","No","03-11-1972","Housing","No_Sew_Water","Paved",294936,116187,8937450,"1972","2007"
"3537",3537,"P09595","Velachery",1607,"15-08-2006",177,2,1,4,"Normal Sale","No","21-08-1982","Commercial","ELO","Paved",550357,110071,13758930,"1982","2006"
"3538",3538,"P02778","Adyar",1182,"30-07-2011",193,1,1,3,"Partial","No","31-07-2006","Commercial","No_Sew_Water","NoAccess",488617,66029,13205875,"2006","2011"
"3539",3539,"P07335","TNagar",1539,"17-12-2008",100,1,1,4,"Family","No","25-12-1976","Commercial","No_Sew_Water","Gravel",426539,255923,17061540,"1976","2008"
"3540",3540,"P02432","Karapakkam",1636,"05-10-2011",5,2,2,4,"Partial","No","13-10-1976","Other","AllPub","NoAccess",247489,129369,5624750,"1976","2011"
